Dataset,Samples,Precision,Recall,F1,Accuracy
csabstruct,128,39.06,28.29,29.05,57.45
csabstruct,256,44.05,38.33,37.53,61.01
csabstruct,512,42.89,38.19,38.35,61.82
csabstruct,1024,53.57,53.32,52.9,71.02
csabstruct,1668,0.0,0.0,55.65,71.98
dailydialog,128,9.24,4.65,6.17,43.7
dailydialog,256,39.03,23.43,23.37,54.22
dailydialog,512,36.26,19.01,28.47,55.47
dailydialog,834,41.74,29.09,33.92,58.09
emotionlines,128,25.98,21.47,23.4,44.25
emotionlines,256,31.16,26.67,28.11,48.48
emotionlines,512,32.52,27.25,29.1,49.57
emotionlines,720,37.99,32.28,34.86,52.89
pubmed,128,43.69,42.27,42.88,72.18
pubmed,256,53.75,53.57,53.59,77.23
pubmed,512,61.89,61.96,61.78,82.17
pubmed,1024,66.98,68.04,67.11,83.49
pubmed,15000,0.0,0.0,81.72,90.20
coarsediscourse,128,31.53,22.83,24.96,37.81
coarsediscourse,256,33.67,31.4,30.9,42.78
coarsediscourse,512,38.17,33.23,34.07,45.12
coarsediscourse,1024,39.47,34.8,36.04,46.53
coarsediscourse,5689,0.0,0.0,42.40,51.05
